attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,class
0,-1.8219,-0.95071,0.95714,1.8398,2.837,3.2963,6.0138,-3.4768,9.775,12.553,16.301,19.29,24.297,0,-0.32284,0,0,0,E
0,-23.636,1.2553,1.9483,2.7255,3.626,4.6997,6.0138,5.0731,9.775,12.553,15.546,20.834,28.474,0,-0.088046,0,0,0,F
0,32.716,34.909,35.048,36.582,37.87,38.99,38.261,34.145,23.617,22.684,22.876,27.918,33.778,0,0,0,0,0,G
0,28.299,31.066,33.655,2.7255,3.626,4.6997,7.8104,41.97,43.991,46.467,19.824,26.724,29.111,0,-0.058697,0,0,0,H
0,27.078,29.927,32.642,2.7255,3.626,34.41,16.713,11.265,13.386,16.147,19.861,56.668,56.822,0,0,0,0,0,I
0,30.635,1.2553,27.061,28.752,30.28,31.699,33.099,34.608,34.63,35.246,38.538,33.235,29.111,40.819,0,0,0,0,J
0,-0.14573,1.2553,-9.8405,2.2077,1.8054,3.8983,-0.35431,6.7208,7.2632,9.8041,14.95,20.705,28.359,40.644,0,-0.088046,0,0,A
0,0.61502,1.2553,6.3909,2.7255,30.117,4.6997,6.0138,7.6612,9.775,12.553,0,0,0,0,0,0,0,0,B
0,9.8833,1.2553,4.8287,4.6888,3.626,4.6997,6.0138,7.6612,16.458,12.553,16.301,25.606,0,0,0,0,0,0,C
0,18.889,21.716,24.667,27.705,14.492,4.6997,21.518,7.6612,9.775,17.761,16.301,41.211,32.713,46.235,0,0,0,0,D
0,-0.38958,-0.50045,0.41455,0.71509,-0.47755,3.6726,5.7884,5.4794,9.2499,11.778,15.611,20.535,28.33,0,-0.088046,0,0,0,E
0,0.61502,1.2553,1.9483,2.7255,3.626,4.6997,-6.4745,7.6612,9.775,12.553,16.301,21.524,26.704,0,-0.29349,0,0,0,F
0,0.61502,1.2553,1.9483,-11.779,3.626,2.997,6.0138,7.6612,9.775,12.553,15.327,20.634,29.111,0,0,0,0,0,G
0,17.885,20.654,23.568,9.8871,3.626,30.057,6.0138,14.007,13.085,15.97,21.546,26.85,34.487,0,0,0,0,0,H
0,28.299,31.066,32.07,2.7255,3.626,4.6997,9.607,38.358,40.389,42.898,30.393,44.057,0,0,0,0,0,0,I
0,0.61502,1.2553,-13.91,2.7255,3.626,4.6997,6.0138,0.42151,6.2845,7.6144,16.301,20.779,29.111,40.819,0,0,0,0,J
0,-14.872,-12.454,-10.819,-9.1114,2.5835,4.2401,5.6075,7.6612,9.1322,11.112,11.615,17.254,26.929,0,-0.29349,0,0,0,A
0,0.61502,1.2553,1.9483,9.9242,6.5837,4.6997,6.0138,11.74,19.8,17.368,0,-0.26414,0,0,0,0,0,0,B
0,15.121,1.2553,1.9483,6.6773,3.626,4.6997,6.0138,7.6612,32.174,12.553,16.301,43.365,32.546,0,0,0,0,0,C
0,16.047,18.679,1.9483,2.7255,8.4163,11.227,6.0138,7.6612,9.775,38.85,21.388,24.993,39.682,0,-0.20544,0,0,0,D
0,0.61502,1.2553,1.9483,-1.0532,-13.252,-10.348,-6.0588,7.6612,9.775,12.553,16.301,21.524,29.111,0,-0.88046,0,0,0,E
0,-19.786,-2.2047,0.41493,1.3702,3.0276,4.6997,6.0138,6.8292,7.9182,11.552,14.793,20.973,28.35,0,-0.20544,0,0,0,F
0,32.716,34.909,33.306,33.018,34.265,31.771,32.887,25.317,21.886,22.684,24.52,29.516,36.889,48.404,0,0,0,0,G
0,15.211,17.772,20.522,2.7255,5.9181,7.2083,8.7289,7.6612,12.847,15.767,19.63,24.941,32.593,42.582,0,-0.058697,0,0,H
0,24.611,27.551,30.443,2.7255,19.756,28.286,39.061,37.865,27.756,43.25,23.511,53.764,0,0,0,0,0,0,I
0,0.61502,1.2553,4.2202,5.2235,4.9843,25.138,6.0138,7.6612,21.6,12.553,16.301,21.524,39.917,0,0,0,0,0,J
0,-6.1404,-0.71565,0.65528,-1.0455,3.626,-0.80728,1.4249,4.2875,8.1818,10.427,15.192,20.668,28.333,0,-0.14674,0,0,0,A
0,0.61502,-2.6631,-1.5459,-4.257,-1.875,0.43476,5.4732,5.7367,8.4848,11.393,14.901,20.564,28.521,38.338,0,-0.11739,0,0,B
0,2.9233,1.2553,1.9483,2.7255,3.626,4.6997,6.0138,7.6612,9.775,12.553,16.301,21.524,39.325,43.837,0,0,0,0,C
0,0.61502,1.2553,1.9483,-11.779,-9.2042,2.4295,6.0138,1.3991,9.775,12.553,15.327,20.93,0,-0.17609,0,0,0,0,D
0,0.61502,1.2553,1.9483,4.198,3.626,4.6997,6.0138,7.6612,9.775,12.553,16.301,0,0,0,0,0,0,0,E
0,-18.592,-1.9919,0.51276,1.4591,3.626,4.6997,4.7057,7.6612,8.3935,11.623,15.181,21.013,28.17,0,-0.14674,0,0,0,F
0,0.61502,-22.081,1.9483,-0.10852,-2.2815,-8.0905,-5.3881,3.4682,6.5537,6.2639,14.985,19.917,28.74,39.778,0,-0.82176,0,0,G
0,31.716,34.085,36.168,37.957,39.481,40.806,42.042,43.333,43.121,45.216,48.2,52.633,0,-0.85111,0,0,0,0,H
0,27.078,29.927,32.642,35.175,3.626,32.662,34.545,32.886,9.775,37.713,37.662,39.096,51.626,56.181,0,0,0,0,I
0,-12.846,-0.51814,0.39292,0.90715,-1.1616,3.6474,4.7767,6.8403,9.775,11.901,15.911,21.17,28.787,40.519,0,-0.058697,0,0,J
0,-0.41576,1.2553,1.9483,1.2751,3.626,-6.6517,4.0017,4.5302,7.3777,6.4494,11.427,20.634,28.837,40.053,0,-0.14674,0,0,A
0,29.491,32.149,34.59,36.782,3.626,4.6997,6.0138,7.6612,20.519,35.533,37.159,41.985,30.783,50.661,0,0,0,0,B
0,1.0564,8.3254,3.6765,2.7255,5.8443,8.0194,9.7103,10.72,9.775,16.164,21.449,28.328,39.078,46.72,0,-0.11739,0,0,C
0,31.716,34.085,36.168,37.957,35.895,33.585,34.836,32.631,22.061,22.868,24.696,28.073,35.5,0,0,0,0,0,D
0,31.716,34.085,36.168,37.957,34.102,35.39,33.035,32.631,23.816,24.587,26.375,29.71,35.5,0,-0.88046,0,0,0,E
0,-13.519,-1.7005,0.39292,1.3618,2.8281,3.2966,4.1582,6.8403,8.5591,11.032,15.324,19.045,27.005,0,-0.38153,0,0,0,F
0,24.611,27.551,30.443,2.7255,34.272,4.6997,12.971,14.768,9.775,30.61,18.104,25.106,32.662,0,0,0,0,0,G
0,25.843,28.75,31.566,2.7255,35.084,4.6997,6.0138,7.6612,13.384,43.223,16.301,23.3,30.867,0,0,0,0,0,H
0,25.843,28.75,31.566,34.239,3.626,9.856,18.362,23.79,16.993,19.769,25.27,33.96,44.913,65.1,0,0,0,0,I
0,21.053,20.563,1.9483,2.7255,3.626,10.932,10.924,12.761,15.015,41.01,16.301,46.794,30.916,57.021,0,0,0,0,J
0,31.716,34.085,36.168,37.957,39.481,40.806,42.042,43.333,44.877,34.901,34.769,36.26,40.291,50.184,0,-0.88046,0,0,A
0,28.401,1.2553,1.9483,2.7255,3.626,4.6997,13.147,13.067,35.052,37.713,39.442,44.368,49.894,54.474,0,0,0,0,B
0,12.981,1.2553,14.109,16.429,3.626,8.9492,10.68,7.6612,13.859,12.553,16.301,24.687,35.633,42.487,0,0,0,0,C
0,0.61502,1.2553,1.9483,-14.99,3.626,-4.4224,6.0138,7.6612,6.2845,10.308,15.894,19.29,0,0,0,0,0,0,D
0,0.61502,-19.702,1.9483,2.7255,3.626,-1.6156,6.0138,7.6612,9.775,12.553,0,-0.029349,0,0,0,0,0,0,E
0,32.716,34.909,36.79,38.364,39.672,40.794,41.844,42.974,27.077,17.618,21.232,26.319,32.222,42.336,0,-0.88046,0,0,F
0,31.716,34.085,36.168,37.957,37.688,31.78,31.233,0,-0.88046,0,0,0,0,0,0,0,0,0,G
0,15.211,17.772,20.522,2.7255,15.086,4.6997,6.0138,10.566,9.775,12.553,17.966,23.233,30.852,0,0,0,0,0,H
